question,chunk_id,filename,author,year
What role do Clostridiales members of the gut microbiota play in colorectal cancer according to the recent study?,9,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How does the effect of gut microbiota on tumor burden relate to CD8 + T cell activation?,9,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What is currently known about the correlation between gut bacteria and intratumoral microbiota?,9,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What specific bacterium has gained attention for its beneficial effects on various health aspects?,9,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What areas are being investigated to improve therapeutic effects through microbiota modulation?,9,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What benefits does Akk provide in systemic metabolism?,10,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How can intestinal Akk predict clinical responses in NSCLC patients?,10,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What is the significance of characterizing tumor metabolism with spatial information?,10,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What questions remain unanswered regarding the anticancer effects of Akk on lung cancer?,10,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What experimental model was used to study the effects of Akk on lung cancer?,10,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the purpose of the study conducted on mice?,11,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What is the effect of Akkermansia muciniphila on tumorigenesis in the studied model?,11,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
"How many mice were used in the study, and what groups were they divided into?",11,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to analyze the effects of Akkermansia muciniphila?,11,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the observable results in group 1 of the mice after subcutaneous injection?,11,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many mice were kept under monitoring in group 2?,12,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
At what week did tumor nodules appear in group 2a?,12,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the median number of clean reads produced from the 30 fecal samples?,12,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which alpha diversity index indicated higher species richness in group 1 compared to group 2?,12,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Were there significant differences in the Shannon and Simpson indexes between group 1 and group 2?,12,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the significant differences in the Shannon and Simpson index between group 1 and group 2?,13,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used for beta diversity analysis in the study?,13,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many discriminative taxa were identified by LEfSe analysis?,13,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which phyla were found to be more abundant in group 2?,13,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the number of OTUs detected in group 1 and group 2 at the species level?,13,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many OTUs were detected at the species level in group 1 and group 2?,14,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which two genera were significantly elevated in group 2 mice?,14,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the significance of the elevated gut Akk and Bifidobacterium in relation to tumorigenesis?,14,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the three groups of mice used to determine the effect of exogenous gut Akk?,14,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What figures provided additional visual data on the class taxonomic levels for each fecal samples?,14,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the three groups of mice used in the study?,15,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the effect of gavaged Akk on tumor proliferation?,15,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How often was Akk or Bifidobacterium pseudolongum administered to the mice?,15,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the control treatment given to the mice?,15,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What methodological approach was used for metabolite profiling in the study?,15,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What approach was used for metabolomics in the study?,16,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the three groups identified based on tumor appearance and growth rate?,16,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What analysis method was employed to assess beta diversity in the study?,16,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the taxonomic cladogram from LEfSe depict?,16,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What do the red and green nodes in the taxonomic cladogram represent?,16,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What do the red and green nodes in the taxonomic type representation indicate?,17,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the Venn diagram illustrate in relation to group 1 and group 2?,17,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What features are highlighted in the heatmap regarding species-level abundance?,17,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How does oral administration of Akk or Bifidobacterium pseudolongum affect tumorigenesis outcomes?,17,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What statistical analysis method was used to analyze the data presented?,17,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What histologic types were the tumor sections divided into?,18,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used for analyzing the tumor sections?,18,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What did the cluster analysis and H&E staining show?,18,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the purpose of the Mapping Polar Metabolites analysis?,18,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How were the tumor tissue sections scanned and analyzed?,18,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What imaging technique was used to analyze tumor tissue sections?,19,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which specific metabolites were illustrated in the mass spectra?,19,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the relationship between metabolic distributions and cancer complexity?,19,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How were microscopic images integrated with mass spectrometry images?,19,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of metabolic profiles were extracted from the tumor subregions?,19,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What imaging technique was used to reconstruct the metabolic network?,20,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How were specific mass spectra related to tumor subregions extracted?,20,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the distribution of metabolites suggest about cancer subregions?,20,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which database was used for metabolic pathway matching analysis?,20,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What role does Akk play in the metabolic activities of tumors?,20,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What database was used for metabolic pathway matching analysis?,21,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What are the enriched metabolic pathways found in the non-necrotic region?,21,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which two regions were compared to identify Akk-regulated metabolic pathways?,21,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What methods were used to display the enriched pathways?,21,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How were the metabolic pathways in tumor tissue influenced according to the findings?,21,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What metabolic processes were influenced by Akk gavage in tumor tissue?,22,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many KEGG pathways were identified in the study?,22,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What types of metabolic pathways were analyzed in relation to tumor tissue?,22,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to extract the microregional metabolic profile of lactic acid?,22,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Who is the author of the study and in what year was it published?,22,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What technique was used to extract the micro-regional metabolic profile of lactic acid in cancer subregions?,23,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the metabolites profiled in the tumor section of the lung cancer mouse model?,23,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which images were utilized to compare metabolite concentrations in different anatomical cancer subregions?,23,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does MSI stand for in the context of this study?,23,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was applied for the analysis of desorbed ions in this research?,23,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of images were used to analyze tumor tissue sections?,24,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which database was used for metabolic network analysis in the study?,24,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the anatomical cancer subregions examined for metabolic profiling?,24,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How did the gavaged Akk affect lactic acid levels in lung cancer tissues?,24,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What enzyme's expression was revealed by IHC in relation to glycolytic metabolism?,24,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What impact does Akk administration have on lactic acid levels in cancer subregions?,25,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How is LDHA expression affected by Akk gavage in cancer regions?,25,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What metabolic pathway does Akk influence according to the text?,25,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What role does glutaminase (GLS) play in the metabolism of glutamine in cancer cells?,25,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How does the MS image contribute to understanding the metabolite content in tumors?,25,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What enzyme mediates the catabolism of glutamine (Gln)?,26,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the study suggest about Gln metabolism in Lewis lung cancer tissue?,26,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which metabolites were analyzed in the study using MSI?,26,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What is the significance level denoted by *P < .05 in the analysis?,26,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of staining was used to observe the metabolic enzyme LDHA in lung cancer tissue sections?,26,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What significant dysregulation is observed in Gln metabolism in Lewis lung cancer tissue?,27,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which metabolites were increased in Lewis lung cancer tissues according to the study?,27,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How did the metabolite levels in the Akk group compare to the control group?,27,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What methodological approach is used to evaluate altered ion intensity across tissue regions?,27,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which enzyme is identified as playing a key role in the catabolism of Gln?,27,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What role does GLS play in glutamine metabolism?,28,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How was GLS expression analyzed in the study?,28,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What metabolites were visualized in the cancer tissue sections?,28,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the different cancer subregions compared in the research?,28,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How did GLS expression differ between cancer tissue and control in the study?,28,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What statistical analysis method was used for the data presented?,29,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How does Akk administration affect purine and pyrimidine metabolism?,29,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What role do nucleotides play in cancer cell proliferation?,29,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the results of the MSI analysis regarding nucleotide biosynthesis in control mice?,29,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was the significance of nucleotide biosynthesis changes in the Akk group compared to control?,29,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What nucleotides were significantly expressed in control mice with Lewis lung cancer?,30,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How did nucleotide biosynthesis differ between the control and Akk group cancer tissues?,30,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to analyze the alpha diversity of the gut microbiota?,30,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Were there any significant differences in species richness indices between the control and Akk gavage group?,30,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What did the beta diversity analysis reveal about the clustering of control and Akk mice?,30,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of analysis was used to show clustering between control and Akk mice?,31,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many OTUs were detected in control and Akk gavaged mice?,31,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the Venn diagram indicate about the OTUs found in control and Akk mice?,31,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to analyze the gut microbiota composition associated with Akk?,31,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What metabolites were visualized and quantified in the lung cancer tissue between the two groups?,31,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
"What are the levels of GMP, UMP, and uric acid in the cancer subregions of the Akk gavaged mice compared to the control?",32,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How were the data analyzed in the study involving the different anatomical cancer subregions?,32,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which phyla were found to be increased in the feces of Akk gavaged mice?,32,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What genera showed increased abundance in the gut microbiota of the control mice?,32,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What specific influence did the gavaged Akk have on the tumoral microbiota?,32,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was increased in the gut microbiota of the control mice?,33,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to analyze the alpha diversity of tumoral microbiota?,33,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Were there any differences in species richness between the control and Akk gavaged mice?,33,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of analysis showed clustering between the control and Akk gavaged mice?,33,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many OTUs were detected between the control and Akk gavaged mice?,33,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What statistical test was used to analyze the data presented in the study?,34,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How many operational taxonomic units (OTUs) were found to be concurrent between the control and Akk gavaged mice?,34,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which bacterial phyla showed increased abundance in tumors in the Akk gavage group?,34,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the blue color represent in the heatmap of differentially abundant features?,34,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the significance levels indicated by *P < .05 and **P < .01 in the analysis?,34,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What bacterial groups were found to be enriched in the control samples?,35,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How does the abundance of Akkermansia differ between tumor tissue in Akk-gavaged mice and control mice?,35,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What are the five groups established for comparing microbial composition?,35,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which samples were compared in relation to the enriched top 100 microbiota?,35,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What is the significance of the figures referenced (Figure 8d-8f and Figure S7a) in the context of the study?,35,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of microbiota is examined in the study?,36,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What is the purpose of the principal coordinate analysis (PCoA) in the research?,36,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What are the three indices used to assess alpha diversity in the study?,36,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How do the tumor microbiome communities differ between control and Akkermansia muciniphila gavaged mice?,36,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the taxonomic cladogram from LEfSe illustrate regarding the microbiome communities?,36,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What taxonomic types were found to be more abundant in Akk gavaged mice compared to control mice?,37,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the blue color represent in the heatmap of differential abundance features?,37,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What statistical test was used to analyze the data between control and Akk gavaged mice?,37,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What features were selected based on the Log LDA Score criteria?,37,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which microbial taxa were mentioned as not obvious in the gut of the examined mice?,37,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was compared in the study involving gut microbial composition?,38,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of cancer cells were used in the lung cancer mouse model?,38,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which microbial taxa showed increased abundance in tumor tissue from the mice?,38,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the two groups of mice compared in the study?,38,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to analyze the changes in intratumoral microbiota after tumorigenesis?,38,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which gut bacteria were found to be significantly increased in tumor tissue?,39,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What relationship is suggested between gut Akkermansia and intra-tumoral microbiota?,39,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Were common intestinal microbiota detected in the Lewis cell line used for lung cancer models?,39,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method do the authors propose for the translocation of gut bacteria into cancer tissue?,39,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What figure illustrates the class taxonomic levels for each tumor sample?,39,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What does the tumoral microbiota suggest about gut bacteria?,40,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the two groups C57BL/6 mice were divided into?,40,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How much Akk bacteria were gavaged to the AB group of mice?,40,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used for analyzing the blood samples collected from the mice?,40,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What were the indices used to assess alpha and beta diversity between the groups?,40,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What indices were compared between the control and gavaged mice?,41,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What method was used to analyze beta diversity between the control and Akk gavaged mice?,41,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which microbial phyla were found to be increased in the blood samples of the bacteria gavaged mice?,41,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
At what time point were Akk and Bifidobacterium elevated in blood after gavage?,41,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was observed regarding the detection of Akk and Bifidobacterium at hour 6 after gavage?,41,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What was not detected in the bacterium at hour 6 after gavage?,42,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What type of plots illustrated the difference in microbiota communities between control and bacteria gavaged mice?,42,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which two bacterial genera were found in the blood samples?,42,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
What analysis method was used to assess the association between differential genera and metabolites in tumor tissue?,42,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which bacterial genera were identified as enriched alongside Akk?,42,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
Which bacterial genera were found to be enriched in the tumor tissue of Akk gavaged lung cancer mice?,43,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
How did the presence of Acidobacteriaceae correlate with differential metabolites in control mice?,43,akkermansia_metabolism-Zhu-GutMicrobes-2023.pdf,Zhu,2023
